10.4.2016 23:31:22 hello world launched
11.4.2016 0:11:15 hello world | launched
16.4.2016 1:33:21 transfering | transfer from MENU to GAME
16.4.2016 1:34:23 loading resources | locale: opened locale file
16.4.2016 1:34:23 loading resources | locale: loaded
16.4.2016 1:34:23 loading resources | started to load fonts
16.4.2016 1:34:23 loading resources | success: TOWER textures
16.4.2016 1:34:23 loading resources | success: SAND textures
16.4.2016 1:34:23 loading resources | started to load fonts
16.4.2016 1:34:27 transfering | transfer from LOADING to MENU
16.4.2016 1:34:29 transfering | transfer from MENU to SETTINGS
16.4.2016 1:34:31 loading resources | locale: opened locale file
16.4.2016 1:34:31 loading resources | locale: loaded
16.4.2016 1:34:31 loading resources | started to load fonts
16.4.2016 1:34:32 loading resources | locale: opened locale file
16.4.2016 1:34:32 loading resources | locale: loaded
16.4.2016 1:34:32 loading resources | started to load fonts
16.4.2016 1:34:33 loading resources | locale: opened locale file
16.4.2016 1:34:33 loading resources | locale: loaded
16.4.2016 1:34:33 loading resources | started to load fonts
16.4.2016 1:34:34 loading resources | locale: opened locale file
16.4.2016 1:34:34 loading resources | locale: loaded
16.4.2016 1:34:34 loading resources | started to load fonts
16.4.2016 1:38:10 loading resources | locale: opened locale file
16.4.2016 1:38:10 loading resources | locale: loaded
16.4.2016 1:38:10 loading resources | started to load fonts
16.4.2016 1:38:19 loading resources | locale: opened locale file
16.4.2016 1:38:19 loading resources | locale: loaded
16.4.2016 1:38:19 loading resources | started to load fonts
16.4.2016 1:38:25 loading resources | locale: opened locale file
16.4.2016 1:38:25 loading resources | locale: loaded
16.4.2016 1:38:25 loading resources | started to load fonts
16.4.2016 1:38:26 loading resources | locale: opened locale file
16.4.2016 1:38:26 loading resources | locale: loaded
16.4.2016 1:38:26 loading resources | started to load fonts
16.4.2016 1:38:28 loading resources | locale: opened locale file
16.4.2016 1:38:28 loading resources | locale: loaded
16.4.2016 1:38:28 loading resources | started to load fonts
16.4.2016 1:38:29 loading resources | locale: opened locale file
16.4.2016 1:38:29 loading resources | locale: loaded
16.4.2016 1:38:29 loading resources | started to load fonts
16.4.2016 1:41:18 loading resources | locale: opened locale file
16.4.2016 1:41:18 loading resources | locale: loaded
16.4.2016 1:41:18 loading resources | started to load fonts
16.4.2016 1:41:48 loading resources | locale: opened locale file
16.4.2016 1:41:48 loading resources | locale: loaded
16.4.2016 1:41:48 loading resources | started to load fonts
16.4.2016 1:41:48 loading resources | success: TOWER textures
16.4.2016 1:41:48 loading resources | success: SAND textures
16.4.2016 1:41:48 loading resources | started to load fonts
16.4.2016 1:41:52 transfering | transfer from LOADING to MENU
16.4.2016 1:41:56 transfering | transfer from MENU to RECORDS
16.4.2016 1:41:57 transfering | transfer to MENU
16.4.2016 1:41:58 transfering | transfer from MENU to SETTINGS
16.4.2016 1:42:1 loading resources | locale: opened locale file
16.4.2016 1:42:1 loading resources | locale: loaded
16.4.2016 1:42:1 loading resources | started to load fonts
16.4.2016 1:42:3 transfering | transfer to MENU
16.4.2016 1:42:6 transfering | transfer from MENU to GAME
16.4.2016 1:42:7 transfering | transfer to MENU
16.4.2016 1:42:8 transfering | transfer from MENU to RECORDS
16.4.2016 1:42:9 transfering | transfer to MENU
16.4.2016 1:42:10 transfering | transfer from MENU to SETTINGS
16.4.2016 1:42:13 loading resources | locale: opened locale file
16.4.2016 1:42:13 loading resources | locale: loaded
16.4.2016 1:42:13 loading resources | started to load fonts
16.4.2016 1:42:14 transfering | transfer to MENU
16.4.2016 1:42:15 transfering | MENU QUIT
16.4.2016 1:43:53 loading resources | locale: opened locale file
16.4.2016 1:43:53 loading resources | locale: loaded
16.4.2016 1:43:53 loading resources | started to load fonts
16.4.2016 1:43:53 loading resources | success: TOWER textures
16.4.2016 1:43:53 loading resources | success: SAND textures
16.4.2016 1:43:53 loading resources | started to load fonts
16.4.2016 1:43:57 transfering | transfer from LOADING to MENU
16.4.2016 1:43:59 transfering | transfer from MENU to SETTINGS
16.4.2016 1:44:1 loading resources | locale: opened locale file
16.4.2016 1:44:1 loading resources | locale: loaded
16.4.2016 1:44:1 loading resources | started to load fonts
16.4.2016 1:44:2 transfering | transfer to MENU
16.4.2016 1:44:3 transfering | transfer from MENU to GAME
16.4.2016 1:44:57 transfering | transfer to MENU
16.4.2016 1:46:55 loading resources | locale: opened locale file
16.4.2016 1:46:55 loading resources | locale: loaded
16.4.2016 1:46:55 loading resources | started to load fonts
16.4.2016 1:46:55 loading resources | success: TOWER textures
16.4.2016 1:46:55 loading resources | success: SAND textures
16.4.2016 1:46:55 loading resources | started to load fonts
16.4.2016 1:46:59 transfering | transfer from LOADING to MENU
16.4.2016 1:47:0 transfering | transfer from MENU to SETTINGS
16.4.2016 1:47:1 loading resources | locale: opened locale file
16.4.2016 1:47:1 loading resources | locale: loaded
16.4.2016 1:47:1 loading resources | started to load fonts
16.4.2016 1:47:2 transfering | transfer to MENU
